arm,fold,conditional_auc,v52_scalar_auc,v51_scalar_auc,above_random,better_v52,better_v51,better_endpoint,rsmr_score_sum,arm_score_sum,rsmr_hard_harm,arm_hard_harm,rsmr_negrms,arm_negrms,beneficial_recall
ENDPOINT,0,0.5095003518648838,0.5242786769880365,0.4074595355383533,True,False,True,,-2.395372857431346,-1.2692964503074824,7,6,0.17231181781429317,0.16731700738448144,0.9310344827586207
ENDPOINT,1,0.6347402597402597,0.6477272727272727,0.6136363636363636,True,False,True,,1.3045395835435363,2.296533954823724,2,1,0.14031918141086883,0.09698678064397649,0.9090909090909091
ENDPOINT,2,0.49876543209876545,0.345679012345679,0.4567901234567901,False,True,True,,-0.013191924063189864,-0.3465822172470939,3,2,0.15714467224703302,0.15134882194231555,0.9333333333333333
ENDPOINT,3,0.4925249169435216,0.44019933554817275,0.595514950166113,False,True,False,,-2.6427314848308647,-3.173115365210865,8,7,0.18342391422792476,0.18781859864840839,0.9285714285714286
ENDPOINT,4,0.4603174603174603,0.4507936507936508,0.4888888888888889,False,True,False,,-0.49417148229958174,-0.49417148229958163,5,4,0.0958716286152196,0.09894850323948653,1.0
TEMPORAL,0,0.517945109078114,0.5242786769880365,0.4074595355383533,True,False,True,,-2.395372857431346,-1.2692964503074824,7,6,0.17231181781429317,0.16731700738448144,0.9310344827586207
TEMPORAL,1,0.5892857142857143,0.6477272727272727,0.6136363636363636,True,False,False,,1.3045395835435363,2.290214517928787,2,1,0.14031918141086883,0.09758098522267462,1.0
TEMPORAL,2,0.5802469135802469,0.345679012345679,0.4567901234567901,True,True,True,,-0.013191924063189864,-0.013191924063189864,3,3,0.15714467224703302,0.15814880177543955,1.0
TEMPORAL,3,0.595514950166113,0.44019933554817275,0.595514950166113,True,True,False,,-2.6427314848308647,-3.363562786789117,8,7,0.18342391422792476,0.19660442187349755,0.8571428571428571
TEMPORAL,4,0.6074074074074074,0.4507936507936508,0.4888888888888889,True,True,True,,-0.49417148229958174,-0.49417148229958174,5,5,0.0958716286152196,0.09841508424174401,1.0
