arm,fold,conditional_sign_auc,v53_preexecution_temporal_auc,v52_scalar_conditional_sign_auc,v51_conditional_sign_auc,above_random,better_v53_temporal,better_v52_scalar,better_v51_scalar,better_realized_endpoint,rsmr_sum,arm_sum,rsmr_hard_harm,arm_hard_harm,beneficial_recall
realized_endpoint,0,0.6059113300492611,0.517945109078114,0.5242786769880365,0.4074595355383533,True,True,True,True,,-2.395372857431346,-1.1565188997941145,7,4,0.896551724137931
realized_endpoint,1,0.6915584415584416,0.5892857142857143,0.6477272727272727,0.6136363636363636,True,True,True,True,,1.3045395835435363,2.2988072522206013,2,1,1.0
realized_endpoint,2,0.5407407407407407,0.5802469135802469,0.345679012345679,0.4567901234567901,True,False,True,True,,-0.013191924063189864,-0.8055585131520074,3,3,0.9333333333333333
realized_endpoint,3,0.632890365448505,0.595514950166113,0.44019933554817275,0.595514950166113,True,True,True,True,,-2.6427314848308647,-2.5678927065013863,8,5,0.8571428571428571
realized_endpoint,4,0.6211640211640211,0.6074074074074074,0.4507936507936508,0.4888888888888889,True,True,True,True,,-0.49417148229958174,-0.041936889333338834,5,4,1.0
realized_temporal,0,0.6073187895847995,0.517945109078114,0.5242786769880365,0.4074595355383533,True,True,True,True,True,-2.395372857431346,-1.175853123291624,7,4,0.896551724137931
realized_temporal,1,0.6801948051948052,0.5892857142857143,0.6477272727272727,0.6136363636363636,True,True,True,True,False,1.3045395835435363,2.290214517928787,2,1,1.0
realized_temporal,2,0.5481481481481482,0.5802469135802469,0.345679012345679,0.4567901234567901,True,False,True,True,True,-0.013191924063189864,-0.8055585131520074,3,3,0.9333333333333333
realized_temporal,3,0.6162790697674418,0.595514950166113,0.44019933554817275,0.595514950166113,True,True,True,True,False,-2.6427314848308647,-2.5678927065013863,8,5,0.8571428571428571
realized_temporal,4,0.6201058201058202,0.6074074074074074,0.4507936507936508,0.4888888888888889,True,True,True,True,False,-0.49417148229958174,-0.03970259493653727,5,4,1.0
