fold,pareto_concordance,v52_static_pareto_concordance,above_random,better_v52_static_pareto,rsmr_selected,dmor_selected,rsmr_beneficial,dmor_beneficial,rsmr_nonbeneficial,dmor_nonbeneficial,rsmr_hard_harm,dmor_hard_harm,rsmr_score_sum,dmor_score_sum,rsmr_neg_rms,dmor_neg_rms,beneficial_recall
0,0.5772160664819944,0.5446675900277008,True,True,128,103,29,26,99,77,7,4,-2.395372857431346,-1.1738937223439998,0.17231181781429317,0.17256552789628685,0.896551724137931
1,0.6384419983065199,0.6248941574936494,True,True,89,82,22,22,67,60,2,1,1.3045395835435363,2.2988072522206013,0.14031918141086883,0.09757637136720723,1.0
2,0.4648786717752235,0.3895274584929757,False,True,79,78,15,14,64,64,3,3,-0.013191924063189864,-0.8055585131520073,0.15714467224703302,0.15814880177543955,0.9333333333333333
3,0.5549872122762148,0.4680306905370844,True,True,108,93,28,22,80,71,8,5,-2.6427314848308647,-2.568575581460046,0.18342391422792476,0.17026478819770827,0.7857142857142857
4,0.5675971538040504,0.4258347016967707,True,True,98,91,27,27,71,64,5,4,-0.49417148229958174,-0.050652606347193596,0.0958716286152196,0.08808194891825401,1.0
